# RCB vs MI - Match 7
# 2026-03-22
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- RCB ---
45, Philip Salt, RCB, Ragu, 1, 0, 4, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
112, Krunal Pandya, RCB, Ragu, 1, 0, 0, 0, 0, 4, 8, 0, 0, 0, 0, 0, 0
116, Suyash Sharma, RCB, Ragu, 1, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0
42, Rajat Patidar, RCB, RK, 1, 0, 64, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0
113, Venkatesh Iyer, RCB, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46, Josh Hazlewood, RCB, Darshan, 1, 0, 0, 0, 0, 2, 12, 0, 1, 0, 0, 0, 0
111, Jacob Bethell, RCB, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, Tim David, RCB, JD, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
47, Bhuvneshwar Kumar, RCB, JD, 1, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0
110, Devdutt Padikkal, RCB, JD, 1, 0, 37, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0
44, Virat Kohli, RCB, Prakash, 1, 0, 67, 8, 2, 0, 0, 0, 0, 1, 0, 0, 0
115, Jitesh Sharma, RCB, Prakash, 1, 0, 40, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0
214, Rasikh Salam Dar, RCB, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# --- MI ---
34, Quinton de Kock, MI, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, Deepak Chahar, MI, Ragu, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
98, Will Jacks, MI, Ragu, 1, 0, 22, 2, 1, 0, 2, 0, 0, 1, 0, 0, 0
30, Rohit Sharma, MI, RK, 1, 0, 17, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
190, AM Ghazanfar, MI, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
182, Naman Dhir, MI, Darshan, 1, 0, 11, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
35, Trent Boult, MI, Prabhu, 1, 0, 1, 0, 0, 2, 8, 0, 1, 0, 0, 0, 0
33, Hardik Pandya, MI, Dots, 1, 0, 42, 3, 4, 2, 8, 0, 0, 0, 0, 0, 0
101, Shardul Thakur, MI, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36, Jasprit Bumrah, MI, JD, 1, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0
32, Tilak Varma, MI, Rijo, 1, 0, 56, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0
31, Suryakumar Yadav, MI, Prakash, 1, 0, 28, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, Mitchell Santner, MI, Prakash, 1, 0, 8, 0, 1, 0, 6, 0, 0, 0, 0, 0, 0

# --- SRH ---
54, Travis Head, SRH, Ragu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
233, Kamindu Mendis, SRH, RK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
60, Harshal Patel, SRH, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
123, Liam Livingstone, SRH, Darshan, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
59, Pat Cummins, SRH, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
232, Aniket Verma, SRH, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
57, Ishan Kishan, SRH, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
58, Heinrich Klaasen, SRH, JD, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
239, Zeeshan Ansari, SRH, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55, Abhishek Sharma, SRH, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

